"year","month","date","shipname","category","commodity","landings","catches","value","price"
2012,1,2012-01-15,"ALTAIR","atun","atun aleta amarilla desv. fco. (thunnus albacares)",127,139.7,1270,10
2012,1,2012-01-15,"ASDEOROS","atun","atun aleta amarilla desv, desc fco (thunnus albacares)",80,96,1040,13
2012,1,2012-01-15,"DAMASTA","atun","atun aleta amarilla desv. fco. (thunnus albacares)",70,77,910,13
2012,1,2012-01-15,"MEMO2","atun","atun aleta amarilla desv. fco. (thunnus albacares)",130,143,1300,10
2012,1,2012-01-15,"MOLLYN","atun","atun aleta amarilla ent. fco. (thunnus albacares)",6402,6402,76824,12
2012,1,2012-01-15,"ND","atun","albacora ent. fca.",363,363,8375,23
2012,1,2012-01-15,"ND","atun","atun aleta amarilla  ent. fco. (thunnus albacares)",274,274,3288,12
2012,1,2012-01-15,"ND","atun","atun aleta amarilla desv. fco. (thunnus albacares)",657,722.7,6570,10
2012,1,2012-01-15,"ND","atun","atun aleta amarilla ent. fco. (thunnus albacares)",754,754,9850,13
2012,1,2012-01-15,"ND","atun","atun aleta azul ent. fco.",200,200,4000,20
2012,1,2012-01-15,"ND","atun","atun desv. fco.",120,132,3000,25
2012,1,2012-01-15,"ND","atun","atun ent. fco.",18812,18812,276370,15
2012,1,2012-01-15,"TONYSEGUNDO","atun","atun aleta amarilla desv. fco. (thunnus albacares)",121,133.1,1210,10
2012,1,2012-01-15,"VICTORIAEUGENIA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",60,60,780,13
2012,2,2012-02-15,"ALTAIR","atun","atun aleta amarilla desv. fco. (thunnus albacares)",128,140.8,1280,10
2012,2,2012-02-15,"ASDEOROS","atun","atun aleta amarilla desv. fco. (thunnus albacares)",70,77,1680,24
2012,2,2012-02-15,"AZTECA6","atun","atun aleta amarilla ent. fco. (thunnus albacares)",863174,863174,6905392,8
2012,2,2012-02-15,"CONSTANZA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",113518,113518,1135180,10
2012,2,2012-02-15,"DAMASTA","atun","atun aleta amarilla desv. fco. (thunnus albacares)",90,99,2160,24
2012,2,2012-02-15,"ISLADELAPIEDRA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",156895,156895,1568950,10
2012,2,2012-02-15,"MARANATHA1","atun","atun aleta amarilla ent. fco. (thunnus albacares)",91740,91740,733920,8
2012,2,2012-02-15,"MAZCU1","atun","atun aleta amarilla ent. fco. (thunnus albacares)",4158,4158,41580,10
2012,2,2012-02-15,"MEMO2","atun","atun aleta amarilla desv. fco. (thunnus albacares)",124,136.4,1240,10
2012,2,2012-02-15,"MICHOACAN2","atun","atun aleta amarilla desv. fco. (thunnus albacares)",15,16.5,300,20
2012,2,2012-02-15,"MOLLYN","atun","atun aleta amarilla ent. fco. (thunnus albacares)",700,700,7700,11
2012,2,2012-02-15,"ND","atun","albacora ent. fca.",3672,3672,50561,14
2012,2,2012-02-15,"ND","atun","atun aleta amarilla desv. fco. (thunnus albacares)",826,908.6,8260,10
2012,2,2012-02-15,"ND","atun","atun aleta amarilla ent. fco. (thunnus albacares)",1548,1548,19476,13
2012,2,2012-02-15,"ND","atun","atun desv. fco.",31,34.1,1085,35
2012,2,2012-02-15,"ND","atun","atun ent. fco.",15928,15928,245130,15
2012,2,2012-02-15,"ORUS","atun","atun aleta amarilla desv. fco. (thunnus albacares)",65,71.5,650,10
2012,2,2012-02-15,"TONYSEGUNDO","atun","atun aleta amarilla desv. fco. (thunnus albacares)",115,126.5,1150,10
2012,2,2012-02-15,"VICTORIAEUGENIA","atun","atun aleta amarilla desv. fco. (thunnus albacares)",80,88,1920,24
2012,3,2012-03-15,"ADRIANAM","atun","atun aleta amarilla ent. fco. (thunnus albacares)",582095,582095,5820950,10
2012,3,2012-03-15,"ALTAIR","atun","atun aleta amarilla desv. fco. (thunnus albacares)",127,139.7,1270,10
2012,3,2012-03-15,"ASDEOROS","atun","atun aleta amarilla desv. fco. (thunnus albacares)",120,132,2880,24
2012,3,2012-03-15,"AZTECA1","atun","atun aleta amarilla ent. fco. (thunnus albacares)",866441,866441,6931528,8
2012,3,2012-03-15,"AZTECA10","atun","atun aleta amarilla ent. fco. (thunnus albacares)",342419,342419,2739352,8
2012,3,2012-03-15,"AZTECA2","atun","atun aleta amarilla ent. fco. (thunnus albacares)",685728,685728,5485824,8
2012,3,2012-03-15,"AZTECA3","atun","atun aleta amarilla ent. fco. (thunnus albacares)",858764,858764,6870112,8
2012,3,2012-03-15,"AZTECA4","atun","atun aleta amarilla ent. fco. (thunnus albacares)",838425,838425,6707400,8
2012,3,2012-03-15,"AZTECA5","atun","atun aleta amarilla ent. fco. (thunnus albacares)",486370,486370,3890960,8
2012,3,2012-03-15,"AZTECA9","atun","atun aleta amarilla ent. fco. (thunnus albacares)",343703,343703,2749624,8
2012,3,2012-03-15,"BUENAVENTURA1","atun","atun aleta amarilla ent. fco. (thunnus albacares)",472230,472230,4722300,10
2012,3,2012-03-15,"BUENAVENTURA2","atun","atun aleta amarilla ent. fco. (thunnus albacares)",63376,63376,633760,10
2012,3,2012-03-15,"CARTADEDECES","atun","atun aleta amarilla ent. fco. (thunnus albacares)",233971,233971,1871768,8
2012,3,2012-03-15,"CLIPPERTON","atun","atun aleta amarilla ent. fco. (thunnus albacares)",382735,382735,3061880,8
2012,3,2012-03-15,"CONSTANZA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",344523,344523,3445230,10
2012,3,2012-03-15,"DOAADELFINAM2","atun","atun ent. fco.",60,60,780,13
2012,3,2012-03-15,"DORE","atun","atun aleta amarilla ent. fco. (thunnus albacares)",60000,60000,720000,12
2012,3,2012-03-15,"HANNA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",883406,883406,7067248,8
2012,3,2012-03-15,"IVANNA2","atun","atun aleta amarilla ent. fco. (thunnus albacares)",300,300,3000,10
2012,3,2012-03-15,"JAGUAR","atun","atun aleta amarilla ent. fco. (thunnus albacares)",267227,267227,2137816,8
2012,3,2012-03-15,"LAVICTORIA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",90000,90000,1080000,12
2012,3,2012-03-15,"LUCINAELENA","atun","atun aleta amarilla desv. fco. (thunnus albacares)",30,33,720,24
2012,3,2012-03-15,"MADEIRA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",412780,412780,4127800,10
2012,3,2012-03-15,"MARIAANTONIETA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",625381,625381,6253810,10
2012,3,2012-03-15,"MARIABEATRIZ","atun","atun aleta amarilla ent. fco. (thunnus albacares)",428985,428985,6005790,14
2012,3,2012-03-15,"MARIADELIAANTESGABIERO","atun","atun aleta amarilla ent. fco. (thunnus albacares)",810000,810000,8100000,10
2012,3,2012-03-15,"MARIAGUADALUPE","atun","atun aleta amarilla ent. fco. (thunnus albacares)",383028,383028,4979364,13
2012,3,2012-03-15,"MARIAVERONICA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",400530,400530,4005300,10
2012,3,2012-03-15,"MAZATUN","atun","atun aleta amarilla ent. fco. (thunnus albacares)",581452,581452,4651616,8
2012,3,2012-03-15,"MAZPESCA2","atun","atun aleta amarilla ent. fco. (thunnus albacares)",830785,830785,6646280,8
2012,3,2012-03-15,"MEMO2","atun","atun aleta amarilla desv. fco. (thunnus albacares)",132,145.2,1320,10
2012,3,2012-03-15,"ND","atun","albacora ent. fca.",686,686,11360,17
2012,3,2012-03-15,"ND","atun","atun aleta amarilla  ent. fco. (thunnus albacares)",146,146,1752,12
2012,3,2012-03-15,"ND","atun","atun aleta amarilla desv. fco. (thunnus albacares)",890,979,8900,10
2012,3,2012-03-15,"ND","atun","atun aleta amarilla ent. fco. (thunnus albacares)",604,604,10643,18
2012,3,2012-03-15,"ND","atun","atun aleta azul ent. fco.",230,230,6900,30
2012,3,2012-03-15,"ND","atun","atun desv. fco.",58,63.8,2320,40
2012,3,2012-03-15,"ND","atun","atun ent. fco.",16998,16998,303731,18
2012,3,2012-03-15,"ORUS","atun","atun aleta amarilla desv. fco. (thunnus albacares)",100,110,1000,10
2012,3,2012-03-15,"SANRAFAEL","atun","atun aleta amarilla  ent. fco. (thunnus albacares)",80000,80000,960000,12
2012,3,2012-03-15,"TONYSEGUNDO","atun","atun aleta amarilla desv. fco. (thunnus albacares)",118,129.8,1180,10
2012,3,2012-03-15,"YAHWEHYIREH","atun","atun aleta azul ent. fco.",35,35,630,18
2012,4,2012-04-15,"ADRIANAM","atun","atun aleta amarilla ent. fco. (thunnus albacares)",226784,226784,1587488,7
2012,4,2012-04-15,"ALTAIR","atun","atun aleta amarilla desv. fco. (thunnus albacares)",138,151.8,1380,10
2012,4,2012-04-15,"ARKOSICHIAPAS","atun","atun aleta amarilla ent. fco. (thunnus albacares)",819455,819455,6555640,8
2012,4,2012-04-15,"AZTECA1","atun","atun aleta amarilla ent. fco. (thunnus albacares)",729312,729312,5834496,8
2012,4,2012-04-15,"AZTECA6","atun","atun aleta amarilla ent. fco. (thunnus albacares)",657381,657381,5259048,8
2012,4,2012-04-15,"AZTECA9","atun","atun aleta amarilla ent. fco. (thunnus albacares)",339739,339739,2717912,8
2012,4,2012-04-15,"BONNIE","atun","atun aleta amarilla ent. fco. (thunnus albacares)",794137,794137,6353096,8
2012,4,2012-04-15,"BUENAVENTURA1","atun","atun aleta amarilla ent. fco. (thunnus albacares)",552083,552083,5520830,10
2012,4,2012-04-15,"CARTADEDECES","atun","atun aleta amarilla ent. fco. (thunnus albacares)",205093,205093,1640744,8
2012,4,2012-04-15,"DONANTONIOPEREZ20","atun","atun ent. fco.",670,670,5360,8
2012,4,2012-04-15,"DORE","atun","atun aleta amarilla ent. fco. (thunnus albacares)",84000,84000,1008000,12
2012,4,2012-04-15,"ELDORADO","atun","atun aleta amarilla ent. fco. (thunnus albacares)",855123,855123,6840984,8
2012,4,2012-04-15,"ELGORILA2","atun","atun ent. fco.",75,75,750,10
2012,4,2012-04-15,"ELTITA1","atun","atun aleta amarilla ent. fco. (thunnus albacares)",320906,320906,2567248,8
2012,4,2012-04-15,"FRANZ","atun","atun aleta amarilla ent. fco. (thunnus albacares)",847966,847966,6783728,8
2012,4,2012-04-15,"FRANZ","atun","atun ojo grande ent. fco.",532,532,4256,8
2012,4,2012-04-15,"ISLADELAPIEDRA","atun","atun aleta amarilla ent. fco. (thunnus albacares)",393859,393859,3938590,10
