PRODUCCI�N PESQUERA DE AT�N REPORTADA EN AVISOS DE ARRIBO 2012 - 2019/P,,,,,,,,,,,,,
FOLIO AVISO,RNP ACTIVO,NOMBRE ACTIVO,NOMBRE OFICINA,A�O CORTE,NOMBRE PRINCIPAL,NOMBRE ESTADO,NOMBRE ESPECIE,MES CORTE,NOMBRE SITIO DESEMBARQUE, PESO DESEMBARCADO (KILOGRAMOS), PESO VIVO (KILOGRAMOS), PRECIO (PESOS), VALOR (PESOS)
106933,ND,ND,ZIHUATANEJO,2018,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,LAGUNA LAS SALINAS,300.00,300.00,70.00,21000.00
294328,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,PLAYA PRINCIPAL,700.00,700.00,60.00,42000.00
788256,ND,ND,EL RANCHITO (COAHUAYANA),2017,ATUN,MICHOACAN,ATUN DESV. FCO.,OCTUBRE,PUNTA PICHILINGUILLO,30.00,33.00,50.00,1500.00
789390,ND,ND,EL RANCHITO (COAHUAYANA),2017,ATUN,MICHOACAN,ATUN DESV. FCO.,DICIEMBRE,PUNTA PICHILINGUILLO,300.00,330.00,30.00,9000.00
789397,ND,ND,EL RANCHITO (COAHUAYANA),2017,ATUN,MICHOACAN,ATUN DESV. FCO.,DICIEMBRE,PUNTA DE PICHILINGUILLO,200.00,220.00,30.00,6000.00
814866,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,JUNIO,LAGUNA LAS SALINAS,300.00,300.00,60.00,18000.00
814871,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN IND.,SEPTIEMBRE,LAGUNA LAS SALINAS,1400.00,1624.00,45.00,63000.00
814872,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN IND.,SEPTIEMBRE,LAGUNA LAS SALINAS,1600.00,1856.00,45.00,72000.00
814873,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,2000.00,2000.00,50.00,100000.00
814874,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,2500.00,2500.00,50.00,125000.00
814875,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,2000.00,2000.00,50.00,100000.00
820607,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,JUNIO,PLAYA PRINCIPAL,200.00,200.00,50.00,10000.00
820668,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,JUNIO,PLAYA PRINCIPAL,500.00,500.00,60.00,30000.00
820669,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,JUNIO,PLAYA PRINCIPAL,800.00,800.00,70.00,56000.00
820671,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,JUNIO,PLAYA PRINCIPAL,700.00,700.00,50.00,35000.00
820870,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,EL ATRACADERO,2700.00,2700.00,50.00,135000.00
832362,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),ENERO,BAHIA PUERTO ANGEL,2800.00,2800.00,25.00,70000.00
832365,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,ATUN ENT. FCO.,ENERO,BAHIA PUERTO ANGEL,1300.00,1300.00,80.00,104000.00
832368,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),ENERO,BAHIA DE PUERTO ANGEL,75.00,75.00,50.00,3750.00
832380,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),ENERO,BAHIA DE PUERTO ANGEL,100.00,100.00,80.00,8000.00
832701,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),MAYO,BAHIA DE PUERTO ANGEL,6200.00,6200.00,60.00,372000.00
832716,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),JUNIO,BAHIA DE PUERTO ANGEL,3200.00,3200.00,30.00,96000.00
832718,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),JUNIO,BAHIA DE PUERTO ANGEL,160.00,160.00,35.00,5600.00
832732,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,"ATUN ALETA AMARILLA DESV, DESC FCO (THUNNUS ALBACARES)",JUNIO,BAHIA DE PUERTO ANGEL,6400.00,7680.00,60.00,384000.00
832734,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,"ATUN ALETA AMARILLA DESV, DESC FCO (THUNNUS ALBACARES)",JUNIO,BAHIA DE PUERTO ANGEL,120.00,144.00,35.00,4200.00
832735,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,"ATUN ALETA AMARILLA DESV, DESC FCO (THUNNUS ALBACARES)",JUNIO,BAHIA DE PUERTO ANGEL,1000.00,1200.00,40.00,40000.00
832736,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,"ATUN ALETA AMARILLA DESV, DESC FCO (THUNNUS ALBACARES)",JUNIO,BAHIA DE PUERTO ANGEL,820.00,984.00,40.00,32800.00
832951,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),JULIO,BAHIA DE PUERTO ANGEL,7300.00,7300.00,60.00,438000.00
832952,ND,ND,PUERTO ANGEL,2017,ATUN,OAXACA,"ATUN ALETA AMARILLA DESV, DESC FCO (THUNNUS ALBACARES)",JULIO,BAHIA DE PUERTO ANGEL,384.00,460.80,30.00,11520.00
860506,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN IND.,JUNIO,LAGUNA LAS SALINAS,300.00,348.00,30.00,9000.00
860516,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,LAGUNA LAS SALINAS,400.00,400.00,22.00,8800.00
860517,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,LAGUNA LAS SALINAS,200.00,200.00,15.00,3000.00
860518,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,LAGUNA LAS SALINAS,650.00,650.00,22.00,14300.00
860519,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,LAGUNA LAS SALINAS,100.00,100.00,20.00,2000.00
860520,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,LAGUNA LAS SALINAS,250.00,250.00,23.00,5750.00
860521,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,40.00,40.00,40.00,1600.00
860522,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,400.00,400.00,22.00,8800.00
860523,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,600.00,600.00,25.00,15000.00
860525,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,380.00,380.00,30.00,11400.00
860753,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,PLAYA PRINCIPAL,900.00,900.00,18.00,16200.00
860754,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,PLAYA PRINCIPAL,714.00,714.00,18.00,12852.00
860757,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,PLAYA PRINCIPAL,210.00,210.00,20.00,4200.00
860758,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,PLAYA PRINCIPAL,76.00,76.00,20.00,1520.00
860759,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,PLAYA PRINCIPAL,402.00,402.00,30.00,12060.00
860760,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,PLAYA PRINCIPAL,310.00,310.00,30.00,9300.00
860761,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,PLAYA PRINCIPAL,258.00,258.00,30.00,7740.00
860762,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,PLAYA PRINCIPAL,140.00,140.00,30.00,4200.00
860763,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,PLAYA PRINCIPAL,190.00,190.00,30.00,5700.00
860764,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,PLAYA PRINCIPAL,258.00,258.00,30.00,7740.00
860765,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,PLAYA PRINCIPAL,321.00,321.00,30.00,9630.00
860766,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,PLAYA PRINCIPAL,348.00,348.00,30.00,10440.00
860767,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,PLAYA PRINCIPAL,430.00,430.00,30.00,12900.00
860768,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ABRIL,PLAYA PRINCIPAL,600.00,600.00,30.00,18000.00
860769,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ABRIL,PLAYA PRINCIPAL,840.00,840.00,35.00,29400.00
860774,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,PLAYA PRINCIPAL,89.00,89.00,35.00,3115.00
860775,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,PLAYA PRINCIPAL,92.00,92.00,35.00,3220.00
860960,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,2500.00,2500.00,50.00,125000.00
860962,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,280.00,280.00,50.00,14000.00
860963,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,2800.00,2800.00,50.00,140000.00
860969,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ABRIL,LAGUNA LAS SALINAS,3100.00,3100.00,50.00,155000.00
860971,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ABRIL,LAGUNA LAS SALINAS,900.00,900.00,50.00,45000.00
860972,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ABRIL,LAGUNA LAS SALINAS,375.00,375.00,50.00,18750.00
860973,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ABRIL,LAGUNA LAS SALINAS,2800.00,2800.00,40.00,112000.00
897396,ND,ND,CRUZ DE HUANACAXTLE,2016,ATUN,NAYARIT,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),DICIEMBRE,"CRUZ DE HUANACAXTLE, LA",2850.00,2850.00,100.00,285000.00
924051,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,JUNIO,PETACALCO,500.00,500.00,35.00,17500.00
924326,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,PLAYA PRINCIPAL,800.00,800.00,60.00,48000.00
924327,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,PLAYA PRINCIPAL,900.00,900.00,70.00,63000.00
924329,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,AGOSTO,PLAYA PRINCIPAL,1000.00,1000.00,50.00,50000.00
924330,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,PLAYA PRINCIPAL,900.00,900.00,50.00,45000.00
924331,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,PLAYA PRINCIPAL,600.00,600.00,50.00,30000.00
924332,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,PLAYA PRINCIPAL,800.00,800.00,50.00,40000.00
924333,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,PLAYA PRINCIPAL,500.00,500.00,50.00,25000.00
924334,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,PLAYA PRINCIPAL,200.00,200.00,50.00,10000.00
924335,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,PLAYA PRINCIPAL,500.00,500.00,70.00,35000.00
924336,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,PLAYA PRINCIPAL,300.00,300.00,60.00,18000.00
924337,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,PLAYA PRINCIPAL,300.00,300.00,50.00,15000.00
924338,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,PLAYA PRINCIPAL,200.00,200.00,60.00,12000.00
924339,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,PLAYA PRINCIPAL,300.00,300.00,70.00,21000.00
924340,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,PLAYA PRINCIPAL,500.00,500.00,70.00,35000.00
924342,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,PLAYA PRINCIPAL,200.00,200.00,50.00,10000.00
924344,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,PLAYA PRINCIPAL,100.00,100.00,50.00,5000.00
924345,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,ENERO,PLAYA PRINCIPAL,80.00,80.00,50.00,4000.00
924346,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,PLAYA PRINCIPAL,200.00,200.00,50.00,10000.00
924347,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,PLAYA PRINCIPAL,50.00,50.00,70.00,3500.00
924348,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,PLAYA PRINCIPAL,100.00,100.00,70.00,7000.00
924349,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,FEBRERO,PLAYA PRINCIPAL,80.00,80.00,50.00,4000.00
924350,ND,ND,ZIHUATANEJO,2017,ATUN,GUERRERO,ATUN ENT. FCO.,MARZO,PLAYA PRINCIPAL,200.00,200.00,70.00,14000.00
924701,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,800.00,800.00,30.00,24000.00
924702,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,350.00,350.00,45.00,15750.00
924703,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,850.00,850.00,30.00,25500.00
924704,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,80.00,80.00,20.00,1600.00
924705,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,SEPTIEMBRE,LAGUNA LAS SALINAS,250.00,250.00,15.00,3750.00
924706,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,380.00,380.00,30.00,11400.00
924708,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,850.00,850.00,30.00,25500.00
924709,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,58.00,58.00,30.00,1740.00
924711,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,800.00,800.00,30.00,24000.00
924712,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,380.00,380.00,30.00,11400.00
924713,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,950.00,950.00,35.00,33250.00
924714,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,500.00,500.00,30.00,15000.00
924715,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,45.00,45.00,30.00,1350.00
924716,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,650.00,650.00,25.00,16250.00
924717,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,700.00,700.00,30.00,21000.00
924718,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,750.00,750.00,35.00,26250.00
924719,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,600.00,600.00,30.00,18000.00
924720,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,450.00,450.00,30.00,13500.00
924721,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,450.00,450.00,30.00,13500.00
924722,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,650.00,650.00,30.00,19500.00
924725,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,LAGUNA LAS SALINAS,300.00,300.00,30.00,9000.00
924776,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,PETACALCO,2100.00,2100.00,50.00,105000.00
924777,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,3150.00,3150.00,50.00,157500.00
924778,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,2600.00,2600.00,50.00,130000.00
924779,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,OCTUBRE,LAGUNA LAS SALINAS,30.00,30.00,50.00,1500.00
924780,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,2150.00,2150.00,50.00,107500.00
924781,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,2700.00,2700.00,50.00,135000.00
924782,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,NOVIEMBRE,LAGUNA LAS SALINAS,330.00,330.00,50.00,16500.00
924784,ND,ND,ZIHUATANEJO,2016,ATUN,GUERRERO,ATUN ENT. FCO.,DICIEMBRE,LAGUNA LAS SALINAS,2600.00,2600.00,50.00,130000.00
